Contract Number,Task Order Number,Project Number,Contract Rep,Project Controls Rep,Project Manager,Accounting Rep,Contract Country,Awarding Agency,Award Agency Contract Representative,Awarding Agency Technical Representative,Funding Agency,Funding Agency Contract Representative,Funding Agency Technical Representative,IsIDIQ,Action,Human Resources Rep,Purchasing Rep,Subcontract Rep
W912DY-14-D-0005,,0N0001,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,GBR,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,1,Add,,,
W912P9-14-D-0525,,50010,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,GBR,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,1,Add,3458,4467,
N00189-14-D-Z043,,50013,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,GBR,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,1,Add,3458,4467,
HSCG50-14-D-PXA701,,20089,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,GBR,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,1,Add,,,
,,50022,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,GBR,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,1,Add,3458,4467,
DE-EM0003836/1087-15-502677,,50023,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,GBR,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,1,Add,3458,4467,
W912DY-15-D-0023,,40063,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,GBR,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,1,Add,,,
W912DY-15-D-0023,,40063,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,GBR,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,1,Add,,,
W912DY-15-D-0023,,40063,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,GBR,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,1,Add,,,
W912DY-15-D-0023,,40063,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,GBR,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,1,Add,,,
W912DY-15-D-0023,,40063,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,GBR,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,1,Add,,,
W912DY-15-D-0023,,40063,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,GBR,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,1,Add,,,
W912DY-15-D-0023,,40063,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,GBR,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,1,Add,,,
W912DY-15-D-0023,,40063,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,GBR,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,1,Add,,,
W912DY-15-D-0023,,40063,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,GBR,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,1,Add,,,
W912DY-15-D-0023,,40063,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,GBR,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,1,Add,,,
W912DY-15-D-0023,,40063,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,GBR,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,1,Add,,,
W912DY-15-D-0023,,40063,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,GBR,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,1,Add,,,
FA8903-16-D-0045,,10852,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,GBR,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,1,Add,,,
FA8903-16-D-0045,,10852,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,GBR,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,1,Add,,,
AG-67T0-C-16-0021,,30201,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,christopher.francis@northwindgrp.com,GBR,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,1,Add,,,
