Code,Name,Manager,Import Status,Reason,
00,Corporate,,Fail,Manager not found,
10,US Western Region,kvalder@northwindgrp.com,Success,Addedd Successfully,
20,US Central Region,rmckinney@northwindgrp.com,Success,Addedd Successfully,
30,US Southeast Region,jwood@northwindgrp.com,Success,Addedd Successfully,
40,US Northeast Region,bclark2@northwindgrp.com,Success,Addedd Successfully,
50,Alaska/Pacific Rim Region,bfrazee@northwindgrp.com,Success,Addedd Successfully,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
,,,Fail,Invalid Code,
